paper_id,paper_name,authors,paper_type,presentation_mode,
133,Graph Mapping and LLMs Thinking Speed,"Ramazan Ali Bahrami, Ramin Yahyapour",long,Accept (Poster),
135,"Probing, Measuring and Mitigating Activity-Level Gender Associations in Open-Ended Text Generation","Xiangjue Dong, Yibo Wang, Philip S. Yu, James Caverlee",long,Accept (Poster),
112,Heterographic Supervision for Direct Speech-to-Text Translation in Scriptless Tribal Languages,"Prashant Bannulmath, Swapnil Sontakke, Deepak K T",short,Accept (Poster),
176,DeScribe: Discourse-Driven Extraction and Structuring of Claim Verification for Better Faithfulness Evaluation,"Yang Zhong, Yang Janet Liu, Diane Litman",non-archival,Accept (Poster),
130,Refusal in the Tail: Surfacing Latent Abstention for Context-Refuted Queries,"Hansle Lee, Jaeeun Jang, sangmin kim",long,Accept (Poster),
9,ADR-Control: Do LLM Coding Agents Follow Architectural Decisions? An Evaluation of ADR-Grounded Code Generation,"Pham The Phong, Phan Duy Hung",long,Accept (Poster),
ARR-8,A Multi-Stage Agentic Framework for Effective Counter-Narrative Generation and Refinement,"Carmel Kronfeld, Sharva Gogawale, Tetsuro Kobayashi, Irad Ben Gal",long,Accept (Poster),
163,A Multi-Faceted Analytical Framework for Text Quality Evaluation in Creative Open-Ended Generation,Esteban Garces Arias,long,Accept (Poster),
ARR-10,M$^{2}$Preserve: A Multidimensional Framework for Evaluating Meaning Preservation in Text Simplification,"Abdullah Barayan, Jose Camacho-Collados, Fernando Alva-Manchego",long,Accept (Poster),
81,TruthSplit: Interactive Generation of Multi-Perspective Reasoning Graphs for Contested Claims,"Lion Six, Adrien Zaradez, Thomas Huber, Christina Niklaus",demo,Accept (Poster),
40,Translating Classical Poetry into Modern Prose,"Chalamalasetti Kranti, Sowmya Vajjala",long,Accept (Poster),
192,Calculation Is Not Insight: Qualitative Reasoning for Data-to-Text Generation,Kristýna Onderková,non-archival,Accept (Poster),
187,DBpedia Triple Set Validation for Consistent NLG Inputs,"Mark Andrade, Simon Mille, Anya Belz, Brian Davis",non-archival,Accept (Poster),
75,Assessing Legal Argumentation in Generated Judgments: A Toulmin-Based Evaluation Framework,"Cor Steging, Tadeusz Zbiegień",short,Accept (Poster),
173,AI-Assisted Length-Constrained Summarization in News Agency Workflows,"Aleksandra Gabryszak, Damian Jaspar, Shushen Manakhimova, Leonhard Hennig",non-archival,Accept (Poster),
89,Knowledge Graph Prompting for Multi-hop Reasoning,"Al Hasib Mahamud, Yllias Chali",non-archival,Accept (Poster),
ARR-11,In Vino Veritas and Vulnerabilities: Examining LLM Safety via Drunk Language Inducement,"Anudeex Shetty, Aditya Joshi, Salil S. Kanhere",long,Accept (Poster),
33,Decomposed Entailment for Factuality Checking and Hallucination Detection,"Achir Oukelmoun, Nasredine Semmar, Gaël de Chalendar",long,Accept (Poster),
44,"CAP: Contrastive Activation Patching for Locating, Comparing, and Steering Neurons in Multilingual LLMs",Aleksandr Semenikhin,demo,Accept (Poster),demo
