paper_id,paper_name,authors,paper_type,presentation_mode
127,A Tale of Two Error Categories: Exploring Concealed Trade-Offs in the Errors of Automated Judges in Evaluation of Uncertainty Quantifiers,"Evgenia Ilia, Wilker Aziz",long,Accept (Oral)
14,Retrieval-Augmented Generation Must Move Beyond Factual Grounding to Represent Diverse Opinions,"Aditya Agrawal, Alwarappan Nakkiran, Alex Karlsson, Aman Singh Thakur, Harsha Aduri",long,Accept (Oral)
