paper_id,paper_name,authors,paper_type,presentation_mode
98,Beyond Natural Language Plans: Structure-Aware Agentic Planning for Query-Focused Table Summarization,"Weijia Zhang, Yifei Yuan, Songgaojun Deng, Evangelos Kanoulas",long,Accept (Oral)
113,Probing the Communicative Efficiency of LLMs via Content Selection in Visually Uncommon Reference Games,"Simeon Junker, Manar Ali, Kristina Kobrock, Larissa Koch, Marika Sarzotti, Hendrik Buschmeier, Sina Zarrieß",long,Accept (Oral)
70,Structured Critique Generation Mitigates Toxification in Self-Critique Alignment,"Takeru Mitsumori, Hiroya Takamura, Takashi Inui",long,Accept (Oral)
108,TENOR: Tension-Enhanced Narrative Planning and Organization for Report Generation,"Aliah Gie Fajardo Zabala, Yi-Shin Chen",long,Accept (Oral)
78,Effort and Confidence: Surface Markers in Reasoning Traces Predict Correctness on Insight Puzzles,"Richard A. J. Mann, Pranava Madhyastha",long,Accept (Oral)
114,Are LLM Judges Language-Neutral? A Cross-Lingual Meta-Evaluation on Multilingual Summarization,"Mohammaderfan koupaei, Amir Esmaeili, Mahshid Khanali, Florian Mai, Patrícia Schmidtová",long,Accept (Oral)
