paper_id,paper_name,authors,paper_type,presentation_mode
72,Mid-Utterance Transition Control for Audio Commentary Generation,"Ryota Kawamatsu, Tatsuya Ishigaki, Hiroya Takamura",long,Accept (Oral)
148,Token Distribution versus Data Volume: Domain Balancing in Multi-Domain Meeting Summarisation,"Ashima Sood, Bryan Gardiner, Joan Condell",long,Accept (Oral)
103,Identifying Check-Worthy Claims by Generating the Implicit Content of Enthymemes,"Martial Pastor, Stefan Kok",long,Accept (Oral)
51,Confident by Default: A Longitudinal Study of Style Drift and Convergence Across Large Language Model Providers,"Silas Rech, Tom Bäckström",long,Accept (Oral)
64,"Do as I Say, Not as You Do: Assessing Public Versus Practitioner Perspectives on the Development of Artificial Intelligence and Language Technologies","Tyler Loakman, Chenghua Lin",long,Accept (Oral)
ARR-15,Can LLM Coding Agents Reason About Time Series?,"Filip Rechtorík, Ondrej Dusek, Zdeněk Kasner",long,Accept (Oral)
