paper_id,paper_name,authors,paper_type,presentation_mode,
171,Justify your prompts!,"Eduardo Calò, David M Howcroft, Leo Leppänen, Saad Mahamood, Simon Mille, Patrícia Schmidtová, Emiel van Miltenburg",already published,Accept (Poster),
71,EuroAlpaca: Task-Preserving Localisation of Instruction Data for European Languages,"Aleix Sant, Jordi Luque, Carlos Escolano",long,Accept (Poster),
147,A Writer–Editor–Critic Pipeline with Deterministic Fact Verification for Football Match Report Generation,"Luís Relvas, Sérgio Nunes, André Restivo",long,Accept (Poster),
150,A Comparative Evaluation of End-to-End and Pipeline Approaches for Summarisation,"Fahime Same, Saad Mahamood, Srinivas Ramesh Kamath",already published,Accept (Poster),
119,ANVIL: Analogies and Videos for Lecturers,"Yuri Noviello, Anastasiia Birillo, Gosia Migut",already published,Accept (Poster),
57,Generating Critical Questions for Arguments: A Large-Scale Analysis of Prompting and Reranking Strategies,"Midhun Kanadan, Benno Stein",long,Accept (Poster),
177,Testing Associative Creativity in Humans and Multimodal LLMs with Difficult-to-Name Visual Stimuli,"Manar Ali, Lisa Gottschalk, Simeon Junker, Lisa Hudalla, Alon Fishman, Joana Cholin, Stefan Kopp, Hendrik Buschmeier, Sina Zarrieß",work in progress,Accept (Poster),
96,Cross-Lingual Activation Steering for Multilingual Language Models,"Rhitabrat Pokharel, Ameeta Agrawal, Tanay Nagar",long,Accept (Poster),
26,PromptDistill: Query-based Selective Token Retention in Intermediate Layers for Efficient Large Language Model Inference,"Weisheng Jin, Maojia Song, Tej Deep Pala, Yew Ken Chia, Dorien Herremans, Soujanya Poria",long,Accept (Poster),
36,What Did My Adapter Break? A Generation-Level Evaluation of Adaptation and Retention in PEFT-Adapted LLMs,"Guy Bilitski, Kfir Bar, Shai Fine",long,Accept (Poster),
30,Towards Green Text Generation: Memory-Based Speculative Decoding,Antal van den Bosch,long,Accept (Poster),
79,Chain-of-Thought Faithfulness Under GRPO and DPO Fine-Tuning,"Hadi Mohammadi, Anastasia Giachanou",long,Accept (Poster),
189,Feedback as an Interface: Controlling Form and Detail in LLM Translation Refinement,"Yiqi Liu, Flavjo Tomori, Nafise Sadat Moosavi, Steffen Eger, Chenghua Lin",already published,Accept (Poster),
175,VetScore: Risk-Weighted Fact Verification for Veterinary Long-Form QA with Citations,"Ivan Kartáč, Jan Tovarys, Mateusz Lango, Ondrej Dusek",work in progress,Accept (Poster),
125,More Than Rainfall: A Multi-Dimensional Analysis of LLM Flood Cause Multi-document Summarization for Disaster Risk Management,"Jane Arleth dela Cruz, Jarno Van Arkel, Iris Hendrickx, Martha Larson",long,Accept (Poster),
99,"Clarify, Abstain or Answer? Strategising in Conversation with Belief-Augmented Generation","Joris Baan, Wilker Aziz, Barbara Plank, Raquel Fernández",long,Accept (Poster),
172,Never Truly Out of Fashion: A Retrospective Look at Evaluation in NLG,"Patrícia Schmidtová, Saad Mahamood, Ondrej Dusek",already published,Accept (Poster),
166,SeanchlÓCR: A platform for Transformer-based transcription of Irish Gaelic Script,"Sháhín de Faoite Houshidari, Brady Meade, Ellen Rushe",demo,Accept (Poster),demo
