paper_id,paper_name,authors,paper_type,presentation_mode
3,Can we use LLMs to generate data-driven patient narratives? A multi-method exploration in the oncology domain,"Nele Albers, Linwei He, Anouk Teunissen, Kelly M. de Ligt, Nadine Bol, Emiel Krahmer",long,Accept (Oral)
2,A Constraint-Based Formalism for Controlled Text Generation,Lionel Clément,long,Accept (Oral)
137,Exploring the feasibility of ontology-based educational question generation with an LLM,"Franco Alberto Cardillo, C. Maria Keet, Zola Mahlaza",long,Accept (Oral)
146,The Truncation Blind Spot: How Decoding Strategies Systematically Exclude Human-Like Token Choices,"Esteban Garces Arias, Nurzhan Sapargali, Christian Heumann, Matthias Aßenmacher",long,Accept (Oral)
