paper_id,paper_name,authors,paper_type,presentation_mode,
28,FJ-Guard: Stubbornness-Guided Training-Free Defense for LLM-based Multi-Agent Systems,"Yudai Yamazaki, Kentaro Kita, Hiroya Kato, Kento Hasegawa, Seira Hidano",long,Accept (Poster),
121,One Feedback System Does Not Fit All:Localising Data-to-Text Driver Coaching for the UK and Nigeria,"Jawwad Baig, Ehud Reiter, Iniakpokeikiye Peter Thompson, Dewei Yi",long,Accept (Poster),
143,InduceGuard : Evaluating Induction Resistance of Large Language Models under Multi-turn Prohibited Keyword Elicitation,"Shunichi Yoneda, Yukitake Yoshioka, Yurai Takayanagi, Yumi Fukuda, Ryoma Obara, Yusuke Sakai, Hidetaka Kamigaito, Katsuhiko Hayashi, Shogo Matsuno",long,Accept (Poster),
50,Dynamic Intent-Driven API Pruning for Tool Learning in Small Language Models,"Tzu-Hao Wang, Ting-Chun Yang, Sin-Syuan Wu, Yao-Chung Fan",long,Accept (Poster),
161,Confabulation in a Caption-then-Generate Pipeline: Evaluating Vision–Language Generation of Adolescent Health Information,"Abigail Naa Amankwaa Abeo, Steven Smith, Hannah Goss, Michael Scriney",long,Accept (Poster),
132,Do LLMs Make More Mistakes If They Do Not Believe the Input Data?,"Peter Kochelka, Aleš Manuel Papáček, Vojtěch Dvořák, Ondrej Dusek",short,Accept (Poster),
185,Modular Multilingual Language Models with Language-Specific Embeddings,"Nalin Kumar, Ondrej Dusek",work in progress,Accept (Poster),
124,Distractors for Multiple-choice Questions for Reading Comprehension: Automatic Generation and Evaluation,"Yixi Chen, Shunjie Wang, LI JIAYI, John Sie Yuen Lee",short,Accept (Poster),
45,Automatic vs. Human Evaluation: Benchmarking 26 Automatic Metrics for Clinical Discharge Summaries,"Yu-Wen Chen, Anne de Hond, Laura Veerhoek, Ruben Peters, Karel GM Moons, Artuur Leeuwenberg",long,Accept (Poster),
ARR-12,Beyond Fine-Tuning: In-Context Learning and Chain-of-Thought for Reasoned Distractor Generation,"Elaf Alhazmi, Quan Z. Sheng, Wei Emma Zhang",long,Accept (Poster),
100,A Large-Scale Dataset for Cross-Lingual Multi-Jurisdiction Patent Drafting from Patent Cooperation Treaty Applications,"Trung Phuong Le, Hirofumi Nonaka, Koji Marusaki, Katsuhito Sudoh, Seiya Kawano",long,Accept (Poster),
47,Hierarchical Experience Memory for Multi-Agent Task Planning and Subtask Guidance,Marcus Lee,long,Accept (Poster),
24,Metric Cards Make Blind Spots Legible,"Minh Anh Nguyen, Nils Feldhus",long,Accept (Poster),
ARR-4,"Retell, Reward, Repeat: Reinforcement Learning for Narrative Theory-Informed LLM Story Retelling","David Y. Liu, Xanthe Muston, Dipankar Srirag, Aditya Joshi, Paul Dawson, Sebastian Sequoiah-Grayson",long,Accept (Poster),
53,The Impact of Model Size on Detection of LLM Hallucinations,"Matt Boerio, Paul Groth",short,Accept (Poster),
167,"Criterion Definitions, Not Criterion Names, Determine What an LLM Judge Measures",Srinivas Harish,work in progress,Accept (Poster),
23,From Tables to Quantified Statements: Evaluating LLM Inference Generation through Executable Verification,"Mai Mohamed Eida, Gunjan Anand, Ayush Singh, Aleksandre Maskharashvili",long,Accept (Poster),
179,Beyond Single Gold Labels: Human Variability and Conceptualisation in Chinese Classifier Use,"Yongheng Peng, Guanyi Chen, Tingting He",already published,Accept (Poster),
54,BikeCoach: A Demo System for Aspect-based Advice Generation Conditioned on Sport Training Protocols,"Matīss Rikters, Tatsuya Ishigaki, Masayuki Kawarada, Shota Kato, Sohei Washino, HirokiYamaguchi",already published,Accept (Poster),demo
