paper_id,paper_name,authors,paper_type,presentation_mode,
169,Dual use issues in the field of Natural Language Generation,Emiel van Miltenburg,work in progress,Accept (Poster),
ARR-13,Automating Multi-Hop RAG Evaluation via TRIAD: From Context Extraction to Validated Dataset Generation,"Lorenz Brehme, Adam Jatowt",long,Accept (Poster),
178,When Seekers Are Hard to Help: Evaluating Emotional Support Dialogue Systems in Worst-Case Interactions,"Jiajie Yang, Yangchun Li, Guanyi Chen, Rui Fan, Xin Bai, Tingting He",already published,Accept (Poster),
126,When More Extractive Summaries Receive Higher Automated Factuality Scores: Evidence from Distilled Scientific Summarization,"Joseph Moretto, Peter A. Beling, Tyler Cody",long,Accept (Poster),
184,"Same Text, More Tokens: Layerwise Attention Distortion under Retokenization","Baban Gain, Asif Ekbal",work in progress,Accept (Poster),
86,Large Language Models for Data Augmentation in Product Matching,"Kateřina Macková, Martin Pilát",long,Accept (Poster),
91,Decoding Path Recovery in Number Generation: Shifting to Intermediate Layers and Top-$k$ Ranks,"Jasivan Alex Sivakumar, Nafise Sadat Moosavi",long,Accept (Poster),
181,When Wrong Answers Sound Coherent: Evaluating Answer-Conditioned Explanatory Generation in LLMs,"Göktuğ Aslanoğlu, Viswanadh Vadlamani",work in progress,Accept (Poster),
34,Example-Guided Prompting for Document-Level Text Simplification,"Marina Litvak, Ariel Perstin, Ilan Shtilman, Michael Färber",short,Accept (Poster),
ARR-1,Rate-Resolved Text Evaluation with Masked Diffusion Language Models,"Yiqi Liu, Kun Zhao, Chenghua Lin, Nafise Sadat Moosavi",long,Accept (Poster),
115,From Full Game State to Live Commentary: A Data-to-Text Pipeline and Corpus for Age of Empires II,Siewart van Wingerden,short,Accept (Poster),
82,"Trust Stack for Mental Health AI: A Survey of Calibration across Human, Interaction, and AI Layers","Xin Sun, Yue Su, Yifan Mo, Qingyu Meng, Yuxuan Li, Min Chen, Mengyuan Zhang, Saku Sugawara, Charlotte Gerritsen, Sander L. Koole, Koen Hindriks, Jiahuan Pei",long,Accept (Poster),
183,Compliance Assessment and Justification Generation for Journalistic Self-Regulation,"Aleksandra Gabryszak, Danylo Mysak, Shushen Manakhimova, Leonhard Hennig",work in progress,Accept (Poster),
191,Stress Testing NLG Evaluation Metrics with Fine-Grained Semantic Contrasts,Lasha Abzianidze,work in progress,Accept (Poster),
190,JudgeMoE: Distributional Aggregation for LLM-as-a-Judge,"Yiqi Liu, Joseph James, Yang Wang, Kun Zhao, Chenghao Xiao, Chenghua Lin",already published,Accept (Poster),
186,Expert Disagreement as Signal: Evaluating Clinical NLG Without Reference Reports,"Yongxin Zhou, Fabien Ringeval, François Portet",work in progress,Accept (Poster),
152,When Diverse Paraphrases Do Not Help: LLM Data Augmentation for Portuguese Aspect-Based Sentiment Analysis,"Andrew Borges de Campos, Gabriel A. Gomes, Larissa Astrogildo de freitas, Ulisses Brisolara Corrêa",short,Accept (Poster),
ARR-6,Do We Really Need So Many Tokens? The Performance-Efficiency Trade-off in Tibetan and Sanskrit,"Orr Meir Zwebner, Kai Golan Hashiloni, Guy Bilitski, Oded Hellman, Nir Marciano, Shai Fine, Kfir Bar",long,Accept (Poster),
77,PLeW-NLG: Interactive Exploration of Human Evaluation Data across NLG Tasks,"Fahime Same, Leonard W Sprague Jr, Francesco Cangemi",demo,Accept (Poster),demo
